TASK,SUBTASK,OPERATION,MOVE,SUBMOVE,REEL,FROM_POSITION,TO_POSITION,START_TIME,FINISH_TIME,CRANE
-1,-1,1,1,1,1,49,8,0,3,2
-1,-1,1,1,2,1,8,9,3,3,2
-1,-1,2,1,1,26,50,16,3,6,2
-1,-1,2,1,2,26,16,17,6,6,2
-1,-1,2,1,3,26,17,8,6,6,2
6,2,3,1,1,27,7,50,6,9,2
6,2,3,1,2,27,50,16,9,9,2
6,2,3,1,3,27,16,17,9,9,2
6,2,3,1,4,27,17,49,9,9,2
-1,-1,4,1,1,29,35,36,0,3,1
-1,-1,4,1,2,29,36,37,3,3,1
-1,-1,4,1,3,29,37,38,3,3,1
-1,-1,4,1,4,29,38,39,3,3,1
-1,-1,5,1,1,28,33,34,3,6,1
-1,-1,5,1,2,28,34,35,6,6,1
-1,-1,5,1,3,28,35,36,6,6,1
-1,-1,5,1,4,28,36,42,6,6,1
-1,-1,5,1,5,28,42,28,6,6,1
-1,-1,5,1,6,28,28,37,6,6,1
-1,-1,6,1,1,31,27,32,6,9,1
-1,-1,6,1,2,31,32,33,9,9,1
-1,-1,6,1,3,31,33,34,9,9,1
-1,-1,6,1,4,31,34,35,9,9,1
-1,-1,6,1,5,31,35,36,9,9,1
-1,-1,6,1,6,31,36,42,9,9,1
-1,-1,6,1,7,31,42,28,9,9,1
4,1,7,1,1,32,26,27,9,12,1
4,1,7,1,2,32,27,32,12,12,1
4,1,7,1,3,32,32,33,12,12,1
4,1,7,1,4,32,33,34,12,12,1
4,1,7,1,5,32,34,35,12,12,1
4,1,7,1,6,32,35,36,12,12,1
4,1,7,1,7,32,36,42,12,12,1
-1,-1,8,1,1,20,44,33,12,15,1
-1,-1,8,1,8,20,33,32,15,15,1
-1,-1,8,1,9,20,32,27,15,15,1
6,1,9,1,1,28,37,36,15,18,1
6,1,9,1,2,28,36,35,18,18,1
6,1,9,1,3,28,35,34,18,18,1
6,1,9,1,4,28,34,44,18,18,1
-1,-1,10,1,1,22,48,36,18,21,1
-1,-1,10,1,2,22,36,37,21,21,1
7,2,11,1,1,34,31,32,21,24,1
7,2,11,1,2,34,32,33,24,24,1
7,2,11,1,3,34,33,34,24,24,1
7,2,11,1,4,34,34,35,24,24,1
7,2,11,1,5,34,35,48,24,24,1
-1,-1,12,1,1,24,1,29,24,27,1
-1,-1,13,1,1,29,39,1,27,30,1
-1,-1,14,1,1,22,37,38,30,33,1
-1,-1,14,1,2,22,38,39,33,33,1
-1,-1,14,1,3,22,39,2,33,33,1
-1,-1,15,1,1,21,45,32,33,36,1
-1,-1,15,1,2,21,32,31,36,36,1
8,1,16,1,1,24,29,38,36,39,1
8,1,16,1,2,24,38,37,39,39,1
8,1,16,1,3,24,37,36,39,39,1
8,1,16,1,4,24,36,35,39,39,1
8,1,16,1,5,24,35,34,39,39,1
8,1,16,1,6,24,34,33,39,39,1
8,1,16,1,7,24,33,45,39,39,1
-1,-1,17,1,1,21,31,32,39,42,1
-1,-1,17,1,2,21,32,33,42,42,1
-1,-1,18,1,1,8,12,19,9,12,2
-1,-1,19,1,1,14,22,16,12,15,2
-1,-1,19,1,2,14,16,50,15,15,2
-1,-1,19,1,3,14,50,7,15,15,2
-1,-1,19,1,4,14,7,20,15,15,2
-1,-1,20,1,1,26,8,17,15,18,2
-1,-1,20,1,2,26,17,16,18,18,2
-1,-1,20,1,3,26,16,50,18,18,2
-1,-1,20,1,4,26,50,7,18,18,2
-1,-1,21,1,1,1,9,8,18,21,2
-1,-1,21,1,2,1,8,17,21,21,2
-1,-1,21,1,3,1,17,16,21,21,2
-1,-1,21,1,4,1,16,50,21,21,2
-1,-1,22,1,1,25,11,12,21,24,2
5,1,23,1,1,38,18,11,24,27,2
5,1,23,1,2,38,11,10,27,27,2
5,1,23,1,3,38,10,9,27,27,2
5,1,23,1,4,38,9,8,27,27,2
5,1,23,1,5,38,8,17,27,27,2
5,1,23,1,6,38,17,22,27,27,2
-1,-1,24,1,1,6,43,10,27,30,2
7,1,25,1,1,15,15,16,30,33,2
7,1,25,1,2,15,16,17,33,33,2
7,1,25,1,3,15,17,8,33,33,2
7,1,25,1,4,15,8,9,33,33,2
7,1,25,1,5,15,9,43,33,33,2
-1,-1,26,1,1,1,50,15,33,36,2
-1,-1,27,1,1,8,19,18,36,39,2
-1,-1,28,1,1,25,12,19,39,42,2
-1,-1,29,1,1,6,10,11,42,45,2
-1,-1,29,1,2,6,11,12,45,45,2
8,2,30,1,1,8,18,11,45,48,2
8,2,30,1,2,8,11,10,48,48,2
8,2,30,1,3,8,10,9,48,48,2
8,2,30,1,4,8,9,8,48,48,2
8,2,30,1,5,8,8,17,48,48,2
8,2,30,1,6,8,17,16,48,48,2
8,2,30,1,7,8,16,50,48,48,2
-1,-1,31,1,1,6,12,18,48,51,2
-1,-1,32,1,1,18,13,6,51,54,2
-1,-1,33,1,1,19,14,13,54,57,2
-1,-1,34,1,1,1,15,16,57,60,2
-1,-1,34,1,2,1,16,17,60,60,2
-1,-1,34,1,3,1,17,8,60,60,2
-1,-1,34,1,4,1,8,9,60,60,2
-1,-1,34,1,5,1,9,10,60,60,2
-1,-1,34,1,6,1,10,11,60,60,2
-1,-1,34,1,7,1,11,12,60,60,2
-1,-1,34,1,8,1,12,24,60,60,2
-1,-1,34,2,8,1,24,24,60,65,4
-1,-1,34,3,8,1,24,38,65,68,1
-1,-1,34,3,9,1,38,39,68,68,1
-1,-1,34,3,10,1,39,3,68,68,1
-1,-1,35,1,1,12,21,15,149,152,2
-1,-1,35,1,4,12,15,16,152,152,2
-1,-1,35,1,5,12,16,17,152,152,2
-1,-1,35,1,6,12,17,8,152,152,2
-1,-1,35,1,7,12,8,9,152,152,2
-1,-1,35,1,8,12,9,10,152,152,2
-1,-1,35,1,9,12,10,11,152,152,2
-1,-1,35,1,10,12,11,12,152,152,2
9,1,36,1,1,6,18,11,152,155,2
9,1,36,1,2,6,11,10,155,155,2
9,1,36,1,3,6,10,9,155,155,2
9,1,36,1,4,6,9,8,155,155,2
9,1,36,1,5,6,8,17,155,155,2
9,1,36,1,6,6,17,16,155,155,2
9,1,36,1,7,6,16,15,155,155,2
9,1,36,1,8,6,15,21,155,155,2
-1,-1,37,1,1,19,13,14,155,158,2
-1,-1,37,1,2,19,14,15,158,158,2
-1,-1,37,1,3,19,15,16,158,158,2
-1,-1,37,1,4,19,16,17,158,158,2
-1,-1,37,1,5,19,17,8,158,158,2
-1,-1,38,1,1,23,46,35,280,283,1
-1,-1,38,1,2,23,35,36,283,283,1
-1,-1,38,1,3,23,36,37,283,283,1
-1,-1,38,1,4,23,37,38,283,283,1
-1,-1,38,1,5,23,38,29,283,283,1
10,2,39,1,1,21,33,34,283,286,1
10,2,39,1,2,21,34,46,286,286,1
-1,-1,40,1,1,29,1,39,286,289,1
-1,-1,40,1,2,29,39,38,289,289,1
-1,-1,41,1,1,7,41,9,280,283,2
-1,-1,41,1,2,7,9,10,283,283,2
-1,-1,41,1,3,7,10,11,283,283,2
10,1,42,1,1,18,6,13,283,286,2
10,1,42,1,2,18,13,14,286,286,2
10,1,42,1,3,18,14,15,286,286,2
10,1,42,1,4,18,15,16,286,286,2
10,1,42,1,5,18,16,17,286,286,2
10,1,42,1,6,18,17,41,286,286,2
-1,-1,43,1,1,19,8,17,286,289,2
-1,-1,43,1,2,19,17,16,289,289,2
-1,-1,43,1,3,19,16,15,289,289,2
-1,-1,43,1,4,19,15,14,289,289,2
-1,-1,43,1,5,19,14,13,289,289,2
-1,-1,43,1,6,19,13,6,289,289,2
-1,-1,44,1,1,26,7,14,289,292,2
-1,-1,44,1,2,26,14,15,292,292,2
-1,-1,44,1,3,26,15,16,292,292,2
-1,-1,44,1,4,26,16,17,292,292,2
-1,-1,44,1,5,26,17,8,292,292,2
-1,-1,45,1,1,32,42,37,358,361,1
11,1,46,1,1,20,27,32,361,364,1
11,1,46,1,2,20,32,33,364,364,1
11,1,46,1,3,20,33,34,364,364,1
11,1,46,1,4,20,34,35,364,364,1
11,1,46,1,5,20,35,36,364,364,1
11,1,46,1,6,20,36,42,364,364,1
-1,-1,47,1,1,5,47,18,358,361,2
11,2,48,1,1,26,8,9,361,364,2
11,2,48,1,2,26,9,10,364,364,2
11,2,48,1,3,26,10,47,364,364,2
-1,-1,49,1,1,7,11,10,364,367,2
-1,-1,49,1,2,7,10,9,367,367,2
-1,-1,49,1,3,7,9,8,367,367,2
-1,-1,49,1,4,7,8,17,367,367,2
-1,-1,49,1,5,7,17,16,367,367,2
-1,-1,49,1,6,7,16,15,367,367,2
-1,-1,49,1,7,7,15,14,367,367,2
-1,-1,49,1,8,7,14,13,367,367,2
-1,-1,50,1,1,15,43,9,370,373,2
-1,-1,50,1,2,15,9,8,373,373,2
-1,-1,50,1,3,15,8,17,373,373,2
-1,-1,50,1,4,15,17,16,373,373,2
-1,-1,50,1,5,15,16,15,373,373,2
-1,-1,50,1,6,15,15,14,373,373,2
-1,-1,50,1,7,15,14,7,373,373,2
