TASK,SUBTASK,OPERATION,MOVE,SUBMOVE,REEL,FROM_POSITION,TO_POSITION,START_TIME,FINISH_TIME,CRANE
12,1,51,1,1,5,18,11,373,376,2
12,1,51,1,2,5,11,10,376,376,2
12,1,51,1,3,5,10,43,376,376,2
-1,-1,52,1,1,34,48,35,370,373,1
-1,-1,52,1,2,34,35,34,373,373,1
-1,-1,52,1,3,34,34,33,373,373,1
-1,-1,52,1,4,34,33,32,373,373,1
-1,-1,52,1,5,34,32,31,373,373,1
-1,-1,53,1,1,32,37,36,373,376,1
-1,-1,53,1,2,32,36,35,376,376,1
-1,-1,53,1,3,32,35,34,376,376,1
-1,-1,53,1,4,32,34,33,376,376,1
-1,-1,53,1,5,32,33,32,376,376,1
-1,-1,54,1,1,25,19,18,376,379,2
-1,-1,54,1,2,25,18,11,379,379,2
-1,-1,54,1,3,25,11,10,379,379,2
-1,-1,54,1,4,25,10,9,379,379,2
-1,-1,54,1,5,25,9,8,379,379,2
-1,-1,54,1,6,25,8,17,379,379,2
-1,-1,54,1,7,25,17,16,379,379,2
-1,-1,54,1,8,25,16,15,379,379,2
12,2,55,1,1,29,38,37,376,379,1
12,2,55,1,2,29,37,36,379,379,1
12,2,55,1,3,29,36,48,379,379,1
-1,-1,56,1,1,31,28,37,379,382,1
-1,-1,56,1,2,31,37,36,382,382,1
-1,-1,56,1,3,31,36,35,382,382,1
-1,-1,56,1,4,31,35,34,382,382,1
-1,-1,56,1,5,31,34,33,382,382,1
-1,-1,56,1,6,31,33,34,382,382,1
-1,-1,57,1,1,8,50,16,526,529,2
-1,-1,57,1,2,8,16,17,529,529,2
-1,-1,57,1,3,8,17,8,529,529,2
-1,-1,57,1,4,8,8,9,529,529,2
-1,-1,57,1,5,8,9,10,529,529,2
13,2,58,1,1,25,15,50,529,532,2
-1,-1,59,1,1,24,45,33,526,529,1
13,1,60,1,1,32,32,45,529,532,1
-1,-1,61,1,1,24,33,32,532,535,1
-1,-1,61,1,2,24,32,27,535,535,1
-1,-1,62,1,1,38,22,17,766,769,2
-1,-1,62,1,2,38,17,8,769,769,2
-1,-1,62,1,3,38,8,9,769,769,2
14,1,63,1,1,7,13,14,769,772,2
14,1,63,1,2,7,14,15,772,772,2
14,1,63,1,3,7,15,16,772,772,2
14,1,63,1,4,7,16,22,772,772,2
-1,-1,64,1,1,28,44,33,850,853,1
15,1,65,1,1,31,34,44,853,856,1
-1,-1,66,1,1,28,33,34,856,859,1
-1,-1,66,1,2,28,34,35,859,859,1
-1,-1,66,1,3,28,35,36,859,859,1
-1,-1,66,1,4,28,36,37,859,859,1
-1,-1,66,1,5,28,37,38,859,859,1
-1,-1,67,1,1,27,49,8,850,853,2
15,2,68,1,1,13,23,14,853,856,2
15,2,68,1,2,13,14,15,856,856,2
15,2,68,1,3,13,15,16,856,856,2
15,2,68,1,4,13,16,17,856,856,2
15,2,68,1,5,13,17,49,856,856,2
-1,-1,69,1,1,32,45,32,898,901,1
-1,-1,70,1,1,25,50,15,898,901,2
16,1,71,1,1,23,29,28,901,904,1
16,1,71,1,2,23,28,37,904,904,1
16,1,71,1,3,23,37,36,904,904,1
16,1,71,1,4,23,36,35,904,904,1
16,1,71,1,5,23,35,34,904,904,1
16,1,71,1,6,23,34,33,904,904,1
16,1,71,1,7,23,33,45,904,904,1
16,2,72,1,1,18,41,17,901,904,2
16,2,72,1,2,18,17,16,904,904,2
16,2,72,1,3,18,16,50,904,904,2
